"CubeId";"snboffzisa"
"PublishingDate";"2023-10-23 09:00"

"Date";"D0";"Value"
"2021-01";"LZ";"-0.75"
"2021-02";"LZ";"-0.75"
"2021-03";"LZ";"-0.75"
"2021-04";"LZ";"-0.75"
"2021-05";"LZ";"-0.75"
"2021-06";"LZ";"-0.75"
"2021-07";"LZ";"-0.75"
"2021-08";"LZ";"-0.75"
"2021-09";"LZ";"-0.75"
"2021-10";"LZ";"-0.75"
"2021-11";"LZ";"-0.75"
"2021-12";"LZ";"-0.75"
"2022-01";"LZ";"-0.75"
"2022-02";"LZ";"-0.75"
"2022-03";"LZ";"-0.75"
"2022-04";"LZ";"-0.75"
"2022-05";"LZ";"-0.75"
"2022-06";"LZ";"-0.25"
"2022-07";"LZ";"-0.25"
"2022-08";"LZ";"-0.25"
"2022-09";"LZ";"0.5"
"2022-10";"LZ";"0.5"
"2022-11";"LZ";"0.5"
"2022-12";"LZ";"1"
"2023-01";"LZ";"1"
"2023-02";"LZ";"1"
"2023-03";"LZ";"1.5"
"2023-04";"LZ";"1.5"
"2023-05";"LZ";"1.5"
"2023-06";"LZ";"1.75"
"2023-07";"LZ";"1.75"
"2023-08";"LZ";"1.75"
"2023-09";"LZ";"1.75"
